id_peli,titulo,genero,duracion
1,Docks of new york,Sin genero,0.0
2,Generals daughter,Sin genero,0.0
3,Angry silence,Sin genero,0.0
4,Day after trinity,Sin genero,0.0
5,Disneyland dream,Sin genero,0.0
6,Eenfance naked childhood,Sin genero,0.0
7,Who is john galt,Sin genero,0.0
8,How to survive a plague,Sin genero,0.0
9,The man from the alamo,Sin genero,0.0
10,The case of lucky legs,Sin genero,0.0
11,Musketeer,Sin genero,0.0
12,Romantic comedy,Sin genero,0.0
13,Fall from grace,Sin genero,0.0
14,Casshern,Sin genero,0.0
15,Dragonquest,Sin genero,0.0
16,North face,Sin genero,0.0
17,Satans tango ,Sin genero,0.0
18,Chu chin chow,Sin genero,0.0
19,Cannibal holocaust,Sin genero,0.0
20,Boy meets boy,Sin genero,0.0
21,Sgt kabukiman,Sin genero,0.0
22,Naked in new york,Sin genero,0.0
23,American winterr,Sin genero,0.0
24,Tic code the,Sin genero,0.0
25,Kick ass,Sin genero,0.0
26,In the cut,Sin genero,0.0
27,Telefon,Sin genero,0.0
28,The coven,Sin genero,0.0
29,Dirty work,Sin genero,0.0
30,Sometimes they come back,Sin genero,0.0
31,Floundering,Sin genero,0.0
32,Chance of a lifetime,Sin genero,0.0
33,The snow white murder case,Sin genero,0.0
34,Yonkers joe,Sin genero,0.0
35,With love,Sin genero,0.0
36,Questioning darwin,Sin genero,0.0
37,Designing woman,Sin genero,0.0
38,Battlestar galactica,Sin genero,0.0
39,Bone collector,Sin genero,0.0
40,Saturday night fever,Sin genero,0.0
41,Brute the bruto,Sin genero,0.0
42,Experiment in terror,Sin genero,0.0
43,At the earths core,Sin genero,0.0
44,Summer in berlin,Sin genero,0.0
45,Presidents man,Sin genero,0.0
46,36 quai des orfevres,Sin genero,0.0
47,Raiders of the lost ark,Sin genero,0.0
48,Taxi 4,Sin genero,0.0
49,Horrible bosses 2,Sin genero,0.0
50,Jill the ripper,Sin genero,0.0
51,Robot carnival,Sin genero,0.0
52,That touch of mink,Sin genero,0.0
53,47 ronin,Sin genero,0.0
54,Heartlands,Sin genero,0.0
55,Divorcee,Sin genero,0.0
56,Minions,Sin genero,0.0
57,Dragon ball z,Sin genero,0.0
58,Link,Sin genero,0.0
59,1969,Sin genero,0.0
60,Flying down to rio,Sin genero,0.0
61,Wednesday,Sin genero,0.0
62,Dawn rider,Sin genero,0.0
63,Invaders from mars,Sin genero,0.0
64,Ugly truth,Sin genero,0.0
65,10 000 timmar,Sin genero,0.0
66,My sassy girl,Sin genero,0.0
67,Mystery science theater 3000,Sin genero,0.0
68,Mountaintop motel massacre,Sin genero,0.0
69,My favorite martian,Sin genero,0.0
70,Pirates who dont do anything,Sin genero,0.0
71,Dr. jack,Sin genero,0.0
72,5 deadly venoms,Sin genero,0.0
73,Deep rising,Sin genero,0.0
74,In america,Sin genero,0.0
75,Big mommas like father,Sin genero,0.0
76,North to alaska,Sin genero,0.0
77,Doubt,Sin genero,0.0
78,Dark horse,Sin genero,0.0
79,Kanine,Sin genero,0.0
80,Surfs up,Sin genero,0.0
81,Carbon copy,Sin genero,0.0
82,Rogue cop,Sin genero,0.0
83,Dodge city,Sin genero,0.0
84,Greatest show on earth,Sin genero,0.0
85,Quicksilver highway,Sin genero,0.0
86,Creepshow 2,Sin genero,0.0
87,Je appelle elisabeth,Sin genero,0.0
88,200 mph,Sin genero,0.0
89,Phantom,Sin genero,0.0
90,Cheech and chong,Sin genero,0.0
91,Take me out to the ball game,Sin genero,0.0
92,Silent house,Sin genero,0.0
93,Ordinary decent criminal,Sin genero,0.0
94,Eerie tales,Sin genero,0.0
95,Cloverfield,Sin genero,0.0
96,Way we laughed,Sin genero,0.0
97,Vie en rose,Sin genero,0.0
98,Best defense,Sin genero,0.0
99,Jimmy rosenberg,Sin genero,0.0
100,You kill me,Sin genero,0.0
