id_peli,titulo,genero,duracion
5,Disneyland dream,Accion,2.9
8,How to survive a plague,Accion,4.1
9,The man from the alamo,Accion,1.8
11,Musketeer,Accion,1.1
23,American winterr,Accion,5.2
24,Tic code the,Accion,8.3
26,In the cut,Accion,6.7
28,The coven,Accion,4.0
31,Floundering,Accion,6.0
32,Chance of a lifetime,Accion,1.8
34,Yonkers joe,Accion,2.9
35,With love,Accion,7.3
38,Battlestar galactica,Accion,9.3
42,Experiment in terror,Accion,6.2
47,Raiders of the lost ark,Accion,3.0
51,Robot carnival,Accion,7.6
52,That touch of mink,Accion,3.7
59,1969,Accion,8.6
64,Ugly truth,Accion,8.9
68,Mountaintop motel massacre,Accion,6.6
79,Kanine,Accion,4.7
80,Surfs up,Accion,6.1
94,Eerie tales,Accion,9.6
96,Way we laughed,Accion,6.1
97,Vie en rose,Accion,8.4
99,Jimmy rosenberg,Accion,1.9
