id_peli,titulo,genero,duracion
4,Day after trinity,Drama,9.5
6,Eenfance naked childhood,Drama,4.8
13,Fall from grace,Drama,4.4
20,Boy meets boy,Drama,1.0
22,Naked in new york,Drama,7.5
29,Dirty work,Drama,9.9
33,The snow white murder case,Drama,6.8
36,Questioning darwin,Drama,3.8
37,Designing woman,Drama,1.7
40,Saturday night fever,Drama,7.2
45,Presidents man,Drama,1.0
46,36 quai des orfevres,Drama,5.5
48,Taxi 4,Drama,9.6
56,Minions,Drama,4.3
60,Flying down to rio,Drama,3.2
63,Invaders from mars,Drama,2.9
72,5 deadly venoms,Drama,7.9
74,In america,Drama,2.8
85,Quicksilver highway,Drama,0.0
86,Creepshow 2,Drama,9.6
88,200 mph,Drama,4.5
93,Ordinary decent criminal,Drama,3.7
100,You kill me,Drama,7.1
