id_peli,titulo,genero,duracion
2,Generals daughter,Terror,5.3
3,Angry silence,Terror,1.6
10,The case of lucky legs,Terror,5.2
14,Casshern,Terror,6.4
15,Dragonquest,Terror,1.5
17,Satans tango ,Terror,5.3
21,Sgt kabukiman,Terror,6.2
25,Kick ass,Terror,5.0
30,Sometimes they come back,Terror,7.8
39,Bone collector,Terror,7.6
41,Brute the bruto,Terror,5.2
43,At the earths core,Terror,1.5
50,Jill the ripper,Terror,7.2
54,Heartlands,Terror,6.8
55,Divorcee,Terror,7.0
57,Dragon ball z,Terror,4.0
62,Dawn rider,Terror,9.0
65,10 000 timmar,Terror,7.0
67,Mystery science theater 3000,Terror,1.5
69,My favorite martian,Terror,1.0
76,North to alaska,Terror,4.5
77,Doubt,Terror,7.4
81,Carbon copy,Terror,8.6
87,Je appelle elisabeth,Terror,2.5
90,Cheech and chong,Terror,6.1
91,Take me out to the ball game,Terror,2.1
